name,eqdep(average_rating),eqdep(year_published),eqdep(min_players),eqdep(max_players),eqdep(playingtime),id,year_published,min_players,max_players,playingtime,min_age,users_rated,average_rating,rating_stddev,num_owned,num_trading,num_wanting,num_wishing,num_comments,spiel_nominee,categories 1010,categories 1035,categories 1047,categories 1039,categories 1040,categories 1030,categories 1090,categories 1019,categories 1049,categories 1023,categories 1002,categories 1024,categories 1093,categories 1050,categories 1055,categories 1079,categories 1031,categories 1025,categories 2726,categories 1026,categories 1001,categories 1015,categories 1065,categories 1116,categories 1046,categories 1017,categories 1020,categories 1008,categories 1048,categories 1016,categories 1038,categories 1086,categories 1064,categories 1037,categories 1009,categories 1104,categories 1115,categories 1070,categories 2650,categories 1094,categories 1120,categories 1051,categories ?,categories 2725,categories 1052,categories 1021,categories 2481,categories 1044,categories 1101,categories 1117,categories 1011,categories 1075,categories 1119,categories 1029,categories 1022,categories 1089,categories 1084,categories 1113,categories 1027,categories 1069,categories 1034,categories 1097,categories 1041,categories 1045,categories 1098,categories 1082,categories 1032,categories 1054,categories 1072,categories 1109,categories 1028,categories 1091,categories 1081,categories 1033,categories 1108,categories 1059,categories 1088,categories 1013,categories 1102,categories 1036,categories 2710,categories 1118,categories 2145,categories 1042,mechanics 2018,mechanics 2072,mechanics 2011,mechanics 2028,mechanics 2035,mechanics 2015,mechanics 2001,mechanics 2012,mechanics 2017,mechanics 2026,mechanics 2016,mechanics 2070,mechanics ?,mechanics 2019,mechanics 2046,mechanics 2040,mechanics 2078,mechanics 2009,mechanics 2008,mechanics 2057,mechanics 2004,mechanics 2080,mechanics 2081,mechanics 2002,mechanics 2020,mechanics 2676,mechanics 2007,mechanics 2048,mechanics 2014,mechanics 2013,mechanics 2689,mechanics 2021,mechanics 2041,mechanics 2043,mechanics 2027,mechanics 2079,mechanics 2005,mechanics 2023,mechanics 2055,mechanics 2685,mechanics 2047,mechanics 2686,mechanics 2073,mechanics 2082,mechanics 2038,mechanics 2060,mechanics 2661,mechanics 2663,mechanics 2664,mechanics 2039,mechanics 2010,mechanics 2003
"Commands & Colors: Ancients","(5)","(1)","(1)","(1)","(5)",14105,2006,2,2,60,12,5509,7.85249,1.41649,6915,189,565,1900,2070,"F","F","F","F","F","F","F","F","T","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","T","T","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"Marvel Heroes","(3)","(1)","(1)","(2)","(7)",14808,2006,2,4,120,12,2054,6.44213,1.59965,2649,156,161,432,790,"F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","T","T","F","F","F","F","F","F","F","F","T","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"Elementalis","(1)","(1)","(1)","(2)","(3)",14991,2006,2,4,30,8,42,5.10119,1.84882,102,19,3,15,31,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"Conquest of Paradise","(3)","(1)","(1)","(2)","(6)",15954,2007,2,4,90,12,805,6.79226,1.37123,1342,84,91,295,431,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","T","F","F","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","T","F","F","F","F","F","F","F","F","F","T","T","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"Strike Them a Blow","(5)","(1)","(1)","(2)","(7)",16325,2006,2,4,600,12,30,7.6,1.3,241,4,12,21,22,"F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","T","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"The Stars Our Decimation: Voidstriker","(5)","(1)","(1)","(1)","(7)",16388,2006,2,2,120,12,2,8.5,0.5,14,0,1,3,1,"F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"Across the Pacific","(5)","(3)","(1)","(1)","?",16466,2010,2,2,0,12,16,8.4375,1.26089,59,3,12,59,16,"F","F","F","F","F","F","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"Griddly Headz: Hockey Game","(4)","(1)","(1)","(2)","(4)",16695,2007,2,4,40,10,3,7.33333,1.31233,3,1,1,1,2,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","T","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"UFO Hunter","(4)","(8)","(3)","(4)","(5)",16994,2013,3,6,60,12,3,7,1.63299,40,2,0,6,3,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","T","F","F","F","F","F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"Dead Slug","?","(1)","(1)","(1)","?",17076,2006,2,2,0,0,0,0,0,0,0,0,0,0,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
